AC_REG,DEP_STA,ARR_STA,CYC,TO_DATE,TO_TIME (UTC),LAND_DATE,LAND_TIME (UTC),DELAY,IMPACT_DEL,DR,FL_DURR
PK-PWC,CGK,YIA,1,2022-06-24,6:47,2022-06-24,7:54,0,0,,
PK-PWC,YIA,CGK,1,2022-06-24,8:40,2022-06-24,9:52,0,0,,
PK-PWC,CGK,DPS,1,2022-06-24,10:42,2022-06-24,12:32,0,0,,
PK-PWC,DPS,CGK,1,2022-06-24,13:12,2022-06-24,15:10,0,0,,
PK-PWC,CGK,YIA,1,2022-06-25,6:39,2022-06-25,7:50,0,0,,
PK-PWC,YIA,CGK,1,2022-06-25,8:30,2022-06-25,9:38,0,0,,
PK-PWC,CGK,DPS,1,2022-06-25,10:39,2022-06-25,12:31,0,0,,
PK-PWC,DPS,CGK,1,2022-06-25,13:17,2022-06-25,15:08,0,0,,
PK-PWC,CGK,DPS,1,2022-06-25,16:00,2022-06-25,17:54,0,0,,
PK-PWC,DPS,CGK,1,2022-06-25,18:34,2022-06-25,20:28,0,0,,
PK-PWC,CGK,DPS,1,2022-06-26,11:16,2022-06-26,13:15,0,0,,
PK-PWC,DPS,CGK,1,2022-06-26,13:57,2022-06-26,15:52,0,0,,
PK-PWC,CGK,DPS,1,2022-06-26,16:56,2022-06-26,18:43,0,0,,
PK-PWC,DPS,CGK,1,2022-06-26,19:26,2022-06-26,21:31,0,0,,
PK-PWC,CGK,YIA,1,2022-06-27,6:39,2022-06-27,7:49,0,0,,
PK-PWC,YIA,CGK,1,2022-06-27,1:40,2022-06-27,2:53,0,0,,
PK-PWC,CGK,DPS,1,2022-06-27,10:51,2022-06-27,13:04,0,0,,
PK-PWA,CGK,DPS,1,2022-06-27,9:14,2022-06-27,11:24,0,0,,
PK-PWA,DPS,CGK,1,2022-06-27,11:54,2022-06-27,13:52,0,0,,
PK-PWA,CGK,YIA,1,2022-06-28,0:07,2022-06-28,1:17,0,0,,
PK-PWA,YIA,CGK,1,2022-06-28,2:14,2022-06-28,3:51,0,0,,
